id,text,category_label,category_name
1,昨日届いた商品が破損していました。交換対応をお願いします。,C1,クレーム
2,アプリが頻繁に落ちてしまい、まともに使えません。原因を教えてください。,C1,クレーム
3,サーバーエラーでログインできず、とても困っています。早急に対応してください。,C1,クレーム
4,注文してから一週間以上経つのに、まだ発送連絡が来ません。どうなっていますか。,C1,クレーム
5,サポートに問い合わせても返信がなく、不信感を抱いています。,C1,クレーム
6,定期購入を解約したはずなのに、今月も請求されています。至急確認してください。,C1,クレーム
7,説明と実物の色味が全然違います。返品したいのですが。,C1,クレーム
8,公式サイトが非常に重く、決済画面で何度も固まります。改善してください。,C1,クレーム
9,同じトラブルが何度も起きているのに、まったく改善されていないように感じます。,C1,クレーム
10,音が異常に大きく、近所から苦情が来ました。初期不良ではないですか。,C1,クレーム
11,チャットサポートの担当者の対応が冷たく、不快な思いをしました。,C1,クレーム
12,保証期間内なのに有償修理と言われました。納得できません。,C1,クレーム
13,説明書が不親切で、組み立てに非常に時間がかかりました。もっと分かりやすくすべきです。,C1,クレーム
14,キャンペーンの特典が同梱されていませんでした。きちんと対応してもらえますか。,C1,クレーム
15,アプリの通知が止まらず、業務に支障が出ています。早く修正してください。,C1,クレーム
16,配達指定時間を守ってもらえず、とても困りました。再発防止を求めます。,C1,クレーム
17,請求書の金額が見積もりより高くなっています。内訳を説明してください。,C1,クレーム
18,同じ商品が他社よりもかなり高く、価格設定に疑問があります。,C1,クレーム
19,マニュアル通りに操作してもエラーが出ます。検証してから販売すべきでは。,C1,クレーム
20,音声が途切れ途切れで会議に使えません。品質にがっかりしました。,C1,クレーム
21,問い合わせフォームからの連絡に対して、自動返信以外の返事がありません。,C1,クレーム
22,梱包が雑で、箱がボロボロの状態で届きました。がっかりです。,C1,クレーム
23,アップデート後に動作が極端に重くなりました。前のバージョンに戻せませんか。,C1,クレーム
24,広告でうたっている性能と実際の使用感が大きく異なるように感じます。,C1,クレーム
25,解約手続きが非常に分かりにくく、わざと複雑にしているのではと疑ってしまいます。,C1,クレーム
26,無料プランと有料プランの違いを詳しく教えていただけますか。,C2,質問
27,このサービスは法人利用でも契約可能でしょうか。,C2,質問
28,パスワードを忘れてしまったのですが、どのように再設定すればよいですか。,C2,質問
29,APIの利用上限は1日にどれくらいまでですか。,C2,質問
30,領収書の発行方法について教えてください。オンラインでダウンロードできますか。,C2,質問
31,推奨動作環境（OSやブラウザ）はどこかにまとまっていますか。,C2,質問
32,チームメンバーは最大何人まで登録できますか。,C2,質問
33,トライアル期間中に解約した場合、料金は発生しますか。,C2,質問
34,外部サービスとの連携機能は、どのプランから利用可能でしょうか。,C2,質問
35,データはどの地域のサーバーに保存されていますか。,C2,質問
36,個人情報の取り扱いについて、詳しいポリシーはどこで確認できますか。,C2,質問
37,モバイルアプリとWeb版で機能差はありますか。,C2,質問
38,支払い方法に口座振替は利用できますか。,C2,質問
39,組織内で権限を細かく設定することは可能でしょうか。,C2,質問
40,解約後、データはどのくらいの期間保持されますか。,C2,質問
41,月途中でプランを変更した場合、料金は日割りになりますか。,C2,質問
42,SSO（シングルサインオン）にはどのIdPが対応していますか。,C2,質問
43,ログの保存期間はどれくらいでしょうか。延長することはできますか。,C2,質問
44,日本語以外の言語にも対応していますか。,C2,質問
45,商用利用の際に、ロゴ表示の義務などはありますか。,C2,質問
46,バックアップはどの頻度で取得されていますか。,C2,質問
47,アカウントを複数の端末で同時に利用しても問題ありませんか。,C2,質問
48,教育機関向けの特別プランはありますか。,C2,質問
49,古いデータを一括でエクスポートする方法はありますか。,C2,質問
50,ログイン通知メールを停止することは可能でしょうか。,C2,質問
51,ダークモードに対応していただけると嬉しいです。検討いただけますか。,C3,要望
52,検索機能で、タグだけでなくコメントも対象にしてほしいです。,C3,要望
53,スマホアプリでもPC版と同じグラフ表示ができるようになると助かります。,C3,要望
54,通知の時間帯を細かく設定できる機能を追加してほしいです。,C3,要望
55,外部カレンダーとの連携機能を実装してもらえると非常に便利だと思います。,C3,要望
56,ダッシュボードをユーザーごとにカスタマイズできるようにしてほしいです。,C3,要望
57,定型文テンプレートを共有できる機能があると、チームで使いやすくなります。,C3,要望
58,キーボードショートカットの一覧を表示できるようにしてほしいです。,C3,要望
59,権限ごとに閲覧できる項目をより細かく制御できるようになると助かります。,C3,要望
60,日報のPDF出力に、会社ロゴを入れられるようにしてほしいです。,C3,要望
61,Webhookのイベント種類をもう少し増やしてもらえると嬉しいです。,C3,要望
62,プロジェクトごとに色分けできると、視認性が上がると思います。,C3,要望
63,コメントに絵文字リアクションを付けられる機能があると、コミュニケーションが活性化しそうです。,C3,要望
64,CSVインポート時に、項目マッピングを保存できるようにしてほしいです。,C3,要望
65,多要素認証に、認証アプリ以外の選択肢も追加してもらえると助かります。,C3,要望
66,レポートを自動でメール配信するスケジュール機能があると便利です。,C3,要望
67,ユーザーごとのアクティビティ履歴を簡単に確認できる画面が欲しいです。,C3,要望
68,エラー内容をもう少し具体的なメッセージで表示してもらえると助かります。,C3,要望
69,管理画面のレスポンスを改善していただけると作業効率が上がります。,C3,要望
70,チュートリアル動画をサービス内から直接見られるようにしてほしいです。,C3,要望
71,Webhookの再送機能があると、障害発生時に助かります。,C3,要望
72,プロジェクトごとにカスタム項目を追加できるようになると嬉しいです。,C3,要望
73,コメント欄での@メンション機能をぜひ追加してほしいです。,C3,要望
74,IPアドレス制限をもっと柔軟に設定できると助かります。,C3,要望
75,いつも素晴らしいサービスを提供していただき、ありがとうございます。とても助かっています。,C4,お礼・ポジティブ
76,不具合対応がとても迅速で、安心して利用を続けられています。感謝しています。,C4,お礼・ポジティブ
77,導入してから業務効率が大きく改善しました。チーム一同、とても満足しています。,C4,お礼・ポジティブ
78,分かりやすいUIで、初めてのメンバーでもすぐに使いこなせました。ありがとうございます。,C4,お礼・ポジティブ
79,リリースノートが丁寧で、アップデート内容を把握しやすく助かっています。,C4,お礼・ポジティブ
80,サポート担当の方の説明がとても親切で、安心して相談できました。,C4,お礼・ポジティブ
81,他社サービスから乗り換えて本当に良かったと感じています。素晴らしいプロダクトです。,C4,お礼・ポジティブ
82,トライアル期間中に丁寧にフォローいただき、導入の不安が解消されました。,C4,お礼・ポジティブ
83,小さな要望にも耳を傾けていただき、ユーザーを大切にしていると感じます。,C4,お礼・ポジティブ
84,マニュアルやヘルプページが充実していて、自己解決しやすい点を高く評価しています。,C4,お礼・ポジティブ
85,今回の大型アップデートで、使い勝手がさらに良くなりました。開発チームに感謝です。,C4,お礼・ポジティブ
86,在宅勤務の環境でもスムーズに使えており、とても助かっています。,C4,お礼・ポジティブ
87,料金プランが分かりやすく、コストパフォーマンスも高いと感じています。,C4,お礼・ポジティブ
88,困ったときにすぐにチャットで相談できる点が心強いです。ありがとうございます。,C4,お礼・ポジティブ
89,導入事例の紹介が参考になり、自社での活用イメージがつかみやすかったです。,C4,お礼・ポジティブ
90,細かな改善が継続的に行われており、プロダクトへの愛情を感じます。,C4,お礼・ポジティブ
91,上司にも勧めたところ、高く評価してもらえました。本当にありがとうございます。,C4,お礼・ポジティブ
92,オンボーディングのサポートが手厚く、スムーズに運用を開始できました。,C4,お礼・ポジティブ
93,UIデザインが洗練されていて、毎日使うのが少し楽しくなります。,C4,お礼・ポジティブ
94,バグ報告に対して素早く修正バージョンを出していただき、信頼感が増しました。,C4,お礼・ポジティブ
95,機能だけでなく、セキュリティ面でも安心して利用できると感じています。,C4,お礼・ポジティブ
96,定期的なウェビナーがとても勉強になり、活用の幅が広がりました。,C4,お礼・ポジティブ
97,想像以上に社内で好評で、利用部門がどんどん増えています。,C4,お礼・ポジティブ
98,ユーザーコミュニティでの情報交換が活発で、運営の姿勢にも好感を持っています。,C4,お礼・ポジティブ
99,長期的に利用しても飽きが来ず、常に改善されている点を高く評価しています。,C4,お礼・ポジティブ
100,今後も使い続けたいサービスです。これからのアップデートも楽しみにしています。,C4,お礼・ポジティブ
101,アカウントが突然ロックされてしまい、仕事に支障が出ています。至急解除してください。,C1,クレーム
102,導入直後からエラーが頻発しており、期待していたほど使えません。原因究明を求めます。,C1,クレーム
103,勝手にログアウトされる現象が頻繁に起きており、非常にストレスです。改善してください。,C1,クレーム
104,問い合わせ窓口に電話しても長時間つながらず、大変不便です。対応体制を見直してください。,C1,クレーム
105,マニュアルと実際の画面表示が異なっており、どちらを信じればよいのか分かりません。,C1,クレーム
106,請求金額に二重請求と思われる箇所があります。早急に調査と返金対応をお願いします。,C1,クレーム
107,深夜帯にシステムがよく停止しており、24時間稼働がうたわれているのに残念です。,C1,クレーム
108,導入サポートの担当者と連絡が取れず、スケジュールが大幅に遅れています。,C1,クレーム
109,過去データの移行作業が予定より大幅に遅れており、事前説明と違います。,C1,クレーム
110,推奨環境どおりに利用しているのに、動作が極端に遅くなります。改善が見られません。,C1,クレーム
111,勝手に仕様が変更されており、事前のアナウンスもなかったように思います。,C1,クレーム
112,サーバーメンテナンスの時間帯が業務ピークと重なっており、困っています。見直してください。,C1,クレーム
113,解約の申し出をしてからも営業の電話が続いており、不快です。即時停止してください。,C1,クレーム
114,問い合わせ履歴がこちらからは確認できず、同じ説明を何度もさせられて疲れました。,C1,クレーム
115,管理画面のレイアウトが頻繁に変わり、現場の混乱を招いています。もう少し安定させてください。,C1,クレーム
116,添付ファイルが勝手に削除されたように見える事象があり、非常に不安です。状況を説明してください。,C1,クレーム
117,セキュリティインシデントに関する説明が不十分で、信頼を損ねています。詳細な報告を求めます。,C1,クレーム
118,ブラウザ版とアプリ版で挙動が異なり、品質管理ができていないと感じます。,C1,クレーム
119,管理者向けの通知が大量に届きすぎて重要な情報が埋もれています。すぐに改善してほしいです。,C1,クレーム
120,問い合わせに対する回答がテンプレートばかりで、問題解決につながっていません。,C1,クレーム
121,機能ごとの利用料金を詳しく教えていただけますか。追加オプションの価格も知りたいです。,C2,質問
122,年間契約と月次契約では、途中解約の扱いがどのように違うのか教えてください。,C2,質問
123,初期設定を代行してもらう場合の費用感を教えていただけますか。,C2,質問
124,IP制限機能はどのプランから利用できますか。また、上限数はありますか。,C2,質問
125,管理者権限と一般ユーザー権限の違いを一覧で確認できる資料はありますか。,C2,質問
126,監査ログの出力フォーマットを事前に確認したいのですが、サンプルはありますか。,C2,質問
127,シングルサインオンを利用する場合、追加費用は発生しますか。,C2,質問
128,トライアル環境から本番環境へのデータ移行は自動で行われますか。,C2,質問
129,海外拠点からアクセスする場合のパフォーマンスについて、何か制限はありますか。,C2,質問
130,障害発生時の連絡フローと、ステータスを確認できるページがあれば教えてください。,C2,質問
131,通知メールのテンプレートをカスタマイズすることは可能でしょうか。,C2,質問
132,APIキーのローテーション手順について、詳細なドキュメントはどこにありますか。,C2,質問
133,ユーザー数を一時的に増やしたい場合、柔軟にプラン変更できますか。,C2,質問
134,データ保管期間を契約書上で明示してもらうことは可能ですか。,C2,質問
135,複数環境（開発・検証・本番）で利用したいのですが、ライセンス形態はどうなりますか。,C2,質問
136,障害対応のSLAはどのように定義されていますか。,C2,質問
137,ログイン時の二段階認証を必須にする設定はありますか。,C2,質問
138,導入支援として、社内向けの説明資料テンプレートなどは提供されていますか。,C2,質問
139,サービス終了時に全データを削除してもらえるか、手順を教えてください。,C2,質問
140,サンドボックス環境を長期的に利用することは可能でしょうか。,C2,質問
141,プロジェクトごとにカスタムのダッシュボードを保存して共有できるようにしてほしいです。,C3,要望
142,モバイル通知にサマリーだけでなく、詳細内容も表示できるオプションがあると助かります。,C3,要望
143,CSVエクスポートに自動実行のスケジュール設定を追加してほしいです。,C3,要望
144,権限変更の履歴を、誰がいつ何を変更したか一覧で見られるようにしてほしいです。,C3,要望
145,画面上の文字サイズをユーザー単位で変更できる機能があるとありがたいです。,C3,要望
146,ダッシュボードのウィジェットをドラッグ＆ドロップで並べ替えられるようになると便利です。,C3,要望
147,特定の条件に合致したときだけ通知を飛ばす高度なフィルター機能を追加してほしいです。,C3,要望
148,払出したAPIキーごとに利用状況を可視化できる画面が欲しいです。,C3,要望
149,システムメンテナンスのお知らせを、管理者だけでなく一般ユーザーにも分かりやすく表示してほしいです。,C3,要望
150,ヘルプ内検索で、キーワードのあいまい検索にも対応してもらえると助かります。,C3,要望
151,長時間ログインしている場合に自動ログアウトするまでの時間を調整できるようにしてほしいです。,C3,要望
152,組織ロゴやテーマカラーを設定して、画面を自社ブランドに合わせられるようになると嬉しいです。,C3,要望
153,モバイルアプリからも管理者機能の一部を利用できるようにしてほしいです。,C3,要望
154,ユーザーごとの利用状況レポートを自動生成してくれる機能があると管理が楽になります。,C3,要望
155,特定のIPアドレスからのアクセスを一時的にブロックする機能を追加してほしいです。,C3,要望
156,問い合わせフォームから送信した内容を、後から確認できるマイページ機能が欲しいです。,C3,要望
157,エラーコードごとに対処方法がすぐ分かるリンクを表示してもらえると助かります。,C3,要望
158,導入企業同士で活用事例を共有できるコミュニティ機能があると嬉しいです。,C3,要望
159,アクセス権限の設定をテンプレート化して、部署ごとに使い回せるようにしてほしいです。,C3,要望
160,障害情報のRSSフィードやWebhook配信に対応していただけるとありがたいです。,C3,要望
161,迅速かつ丁寧にご対応いただき、本当にありがとうございました。おかげで無事に公開できました。,C4,お礼・ポジティブ
162,こちらの理解不足にも関わらず、根気強く説明していただき感謝しています。,C4,お礼・ポジティブ
163,検証環境の貸し出しなど柔軟にご対応いただき、スムーズに評価を進めることができました。,C4,お礼・ポジティブ
164,導入後も定期的にフォローいただき、安心して利用を続けられています。ありがとうございます。,C4,お礼・ポジティブ
165,不具合報告に対して、原因説明まで丁寧に共有していただき、とても信頼できると感じました。,C4,お礼・ポジティブ
166,提案いただいた設定方法が非常に効果的で、社内からも好評です。感謝しています。,C4,お礼・ポジティブ
167,短納期の要望にも関わらず、最大限ご対応いただき本当に助かりました。,C4,お礼・ポジティブ
168,問い合わせへのレスポンスがいつも早く、安心感があります。今後ともよろしくお願いします。,C4,お礼・ポジティブ
169,オンラインセミナーの内容が大変分かりやすく、社内教育にも活用させていただいています。,C4,お礼・ポジティブ
170,アップデートのたびに使い勝手が向上しており、チーム内でも評判が良いです。,C4,お礼・ポジティブ
171,サポートサイトが充実しているおかげで、自己解決できるケースが増えました。ありがとうございます。,C4,お礼・ポジティブ
172,導入前の丁寧なヒアリングにより、自社の課題に合った構成を提案していただけました。,C4,お礼・ポジティブ
173,導入後の効果測定にも一緒に取り組んでいただき、とても心強かったです。,C4,お礼・ポジティブ
174,ちょっとした質問にも親身になって答えてくださり、信頼できるパートナーだと感じています。,C4,お礼・ポジティブ
175,運用が軌道に乗るまで根気強く伴走いただき、現場からも感謝の声が上がっています。,C4,お礼・ポジティブ
176,細かな改善要望にも迅速に対応していただき、ユーザー目線を大切にしていると実感しています。,C4,お礼・ポジティブ
177,トライアル期間中のサポートが手厚く、安心して本契約に踏み切ることができました。,C4,お礼・ポジティブ
178,導入支援チームの方々の対応がとても丁寧で、スムーズにプロジェクトを進められました。,C4,お礼・ポジティブ
179,問い合わせチャットの履歴が残るおかげで、社内共有がしやすく助かっています。,C4,お礼・ポジティブ
180,これまでバラバラだった情報が一元管理できるようになり、業務効率が大きく改善しました。,C4,お礼・ポジティブ
181,管理画面のボタン配置が分かりづらく、誤操作を招いているように感じます。見直しを希望します。,C1,クレーム
182,モバイルアプリで一部の画面が真っ白になり、操作できなくなることがあります。調査してください。,C1,クレーム
183,通知メールが大量に届きすぎて重要な情報を見逃してしまいます。非常に困っています。,C1,クレーム
184,権限設定を変更しても、反映までに時間がかかりすぎます。リアルタイムに近づけてください。,C1,クレーム
185,サーバーメンテナンスの告知が直前すぎて、現場対応が追いつきません。もっと余裕を持って知らせてください。,C1,クレーム
186,過去のバージョンとの互換性が十分でなく、旧データの表示がおかしくなっています。,C1,クレーム
187,システム障害時の代替手段について、事前の案内がなく非常に不安でした。,C1,クレーム
188,ログのダウンロードに時間がかかりすぎて、実務では使えません。パフォーマンスを改善してください。,C1,クレーム
189,モバイル版とPC版で機能差が大きく、現場から不満の声が上がっています。,C1,クレーム
190,障害発生中にもかかわらず、ステータスページが更新されておらず混乱しました。,C1,クレーム
191,シングルサインオン利用時の制限事項について、詳しいドキュメントはありますか。,C2,質問
192,複数ドメインのメールアドレスを同一テナントで利用することは可能でしょうか。,C2,質問
193,プロジェクトのアーカイブ機能を利用した場合、どのような影響が出るのか教えてください。,C2,質問
194,旧プランから新プランへの移行時に、一時的なサービス停止は発生しますか。,C2,質問
195,ユーザー単位での利用ログイン時間を取得する方法はありますか。,C2,質問
196,Webhookの再送ポリシーやリトライ回数について、仕様を教えてください。,C2,質問
197,複数拠点からのアクセスが増えた場合、自動的にスケールする仕組みになっていますか。,C2,質問
198,社内ポリシーに沿ったデータ保持期間のカスタマイズは可能でしょうか。,C2,質問
199,監査目的で、特定期間の操作履歴だけを一括エクスポートしたいのですが、方法はありますか。,C2,質問
200,障害情報のメール通知を、特定の担当者だけに送る設定はできますか。,C2,質問
